Date,Open,High,Low,Close,Adj Close,Volume
1971-04-22,9.645433,9.665465,9.535256,9.645433,2.073634,896064
1971-04-23,9.645433,9.935897,9.615385,9.875801,2.123160,797472
1971-04-26,9.875801,9.885817,9.705529,9.705529,2.086554,479232
1971-04-27,9.705529,9.835737,9.595353,9.815705,2.110240,500448
1971-04-28,9.815705,9.945913,9.775641,9.935897,2.136079,586560
1971-04-29,9.935897,9.965946,9.885817,9.915865,2.131772,436800
1971-04-30,9.915865,9.925881,9.755609,9.845753,2.116698,339456
1971-05-03,9.835737,9.835737,9.675481,9.765625,2.099474,359424
1971-05-04,9.765625,9.765625,9.715545,9.735577,2.093013,355680
1971-05-05,9.735577,9.765625,9.665465,9.745593,2.095166,369408
1971-05-06,9.735577,9.735577,9.655449,9.655449,2.075787,395616
1971-05-07,9.655449,9.715545,9.645433,9.685497,2.082247,648960
1971-05-10,9.685497,9.685497,9.575321,9.675481,2.080094,429312
1971-05-11,9.675481,9.735577,9.625401,9.705529,2.086554,465504
1971-05-12,9.705529,9.735577,9.635417,9.635417,2.071481,248352
1971-05-13,9.665465,9.765625,9.665465,9.755609,2.097321,302016
1971-05-14,9.745593,9.745593,9.655449,9.675481,2.080094,444288
1971-05-17,9.655449,9.655449,9.344952,9.354968,2.011187,648960
1971-05-18,9.354968,9.535256,9.214744,9.395032,2.019801,826176
1971-05-19,9.415064,9.605369,9.415064,9.605369,2.065021,245856
1971-05-20,9.695513,9.955929,9.695513,9.745593,2.095166,798720
1971-05-21,9.735577,9.735577,9.665465,9.725561,2.090860,624000
1971-05-24,9.725561,9.765625,9.705529,9.725561,2.090860,463008
1971-05-25,9.725561,9.765625,9.535256,9.655449,2.075787,861120
1971-05-26,9.655449,9.685497,9.545272,9.545272,2.052101,413088
1971-05-27,9.545272,9.595353,9.535256,9.555288,2.054255,144768
1971-05-28,9.555288,9.605369,9.505208,9.605369,2.065021,264576
1971-06-01,9.605369,9.695513,9.535256,9.695513,2.084400,295776
1971-06-02,9.705529,9.765625,9.705529,9.725561,2.090860,665184
1971-06-03,9.725561,9.795673,9.725561,9.785657,2.103781,545376
1971-06-04,9.785657,9.835737,9.785657,9.835737,2.114545,320736
1971-06-07,9.835737,9.925881,9.795673,9.895833,2.127466,329472
1971-06-08,9.835737,9.835737,9.555288,9.555288,2.054255,580320
1971-06-09,9.555288,9.615385,9.254808,9.535256,2.049947,388128
1971-06-10,9.535256,9.755609,9.495192,9.715545,2.088707,306384
1971-06-11,9.715545,9.855769,9.655449,9.835737,2.114545,353808
1971-06-14,9.835737,9.835737,9.695513,9.695513,2.084400,174096
1971-06-15,9.675481,9.675481,9.475160,9.475160,2.037026,299520
1971-06-16,9.475160,9.775641,9.455128,9.655449,2.075787,313872
1971-06-17,9.655449,9.835737,9.595353,9.695513,2.096579,425568
1971-06-18,9.695513,9.715545,9.535256,9.535256,2.061925,329472
1971-06-21,9.535256,9.555288,9.314904,9.314904,2.014276,527904
1971-06-22,9.314904,9.535256,9.314904,9.415064,2.035934,441792
1971-06-23,9.415064,9.615385,9.375000,9.495192,2.053261,447408
1971-06-24,9.495192,9.495192,9.254808,9.375000,2.027272,278304
1971-06-25,9.375000,9.435096,9.314904,9.395032,2.031603,179712
1971-06-28,9.395032,9.415064,9.314904,9.375000,2.027272,228384
1971-06-29,9.415064,9.595353,9.415064,9.535256,2.061925,295152
1971-06-30,9.535256,9.735577,9.495192,9.735577,2.105243,497328
1971-07-01,9.735577,9.855769,9.675481,9.755609,2.109576,439296
1971-07-02,9.755609,9.755609,9.675481,9.715545,2.100912,225264
1971-07-06,9.715545,9.815705,9.675481,9.755609,2.109576,273312
1971-07-07,9.755609,9.875801,9.735577,9.775641,2.113906,338832
1971-07-08,9.775641,9.855769,9.775641,9.855769,2.131235,272688
1971-07-09,9.855769,9.895833,9.795673,9.815705,2.122571,252096
1971-07-12,9.815705,9.855769,9.755609,9.775641,2.113906,387504
1971-07-13,9.755609,9.755609,9.455128,9.595353,2.074921,413088
1971-07-14,9.455128,9.455128,9.294872,9.415064,2.035934,1604304
1971-07-15,9.415064,9.475160,9.314904,9.375000,2.027272,353184
1971-07-16,9.375000,9.395032,8.994391,9.034455,1.953631,710112
1971-07-19,9.034455,9.074519,8.834135,9.034455,1.953631,766896
1971-07-20,9.074519,9.294872,9.074519,9.234776,1.996949,949104
1971-07-21,9.234776,9.294872,9.074519,9.114583,1.970957,685776
1971-07-22,9.034455,9.034455,8.733974,8.733974,1.888654,1507584
1971-07-23,8.733974,8.954327,8.693910,8.914263,1.927641,468624
1971-07-26,8.914263,8.954327,8.733974,8.774038,1.897317,476112
1971-07-27,8.774038,8.794071,8.673878,8.733974,1.888654,328848
1971-07-28,8.733974,8.733974,8.573718,8.613782,1.862664,1082016
1971-07-29,8.613782,8.613782,8.473558,8.513622,1.841005,732576
1971-07-30,8.513622,8.613782,8.513622,8.553686,1.849669,414336
1971-08-02,8.553686,8.814103,8.553686,8.754006,1.892986,518544
1971-08-03,8.733974,8.733974,8.513622,8.653846,1.871327,502944
1971-08-04,8.653846,8.894231,8.593750,8.633814,1.866995,750048
1971-08-05,8.633814,8.874199,8.633814,8.794071,1.901651,661440
1971-08-06,8.794071,8.914263,8.794071,8.894231,1.923308,374400
1971-08-09,8.874199,8.874199,8.733974,8.733974,1.888654,208416
1971-08-10,8.733974,8.774038,8.693910,8.733974,1.888654,356304
1971-08-11,8.733974,8.954327,8.733974,8.934295,1.931973,554736
1971-08-12,8.934295,9.054487,8.934295,9.034455,1.953631,450528
